id,in5
702169,4
702812,4
702887,4
704977,2
705421,2
705693,4
708056,4
708672,4
709673,2
710246,2
711349,4
711664,4
711859,4
712392,4
712393,5
712399,4
713364,4
715015,4
715016,4
715527,4
716009,4
716617,4
717689,4
719463,4
720018,4
722919,4
722932,5
726525,4
728437,4
729645,4
729646,2
730195,3
730196,5
730827,4
731335,3
733351,4
733352,4
733356,4
733359,4
733366,4
733996,4
734607,4
735848,4
737724,4
737727,4
737738,4
738292,5
741438,4
741439,4
742307,4
742930,4
743591,4
743608,4
743609,4
743616,1
743630,5
743873,4
744002,4
744821,4
745719,3
746186,2
746396,2
746692,4
747056,5
747682,4
748092,4
749082,4
749289,4
749745,4
750408,1
750602,4
750757,2
751336,4
751569,4
751784,5
752114,4
752557,4
755170,3
755597,4
755746,4
755761,4
756355,4
756535,4
758317,4
759544,4
759727,4
759855,4
760381,4
760544,2
761021,2
761195,4
761520,2
763124,4
763512,4
764513,4
765586,4
766539,4
766809,4
767202,2
767465,4
768024,4
768722,4
768751,4
768752,4
768828,4
768926,4
769783,4
770787,4
772353,4
773034,4
774429,5
774578,4
774584,2
775466,4
778506,4
778632,4
778653,4
778656,4
778657,4
778658,4
778661,4
779067,4
779302,4
779377,4
780271,4
780423,4
782697,2
782701,4
782702,4
783009,4
783010,4
783015,4
783016,4
783017,4
783018,4
785114,4
788880,4
788881,4
788899,4
788900,4
788901,4
788902,1
788904,4
788905,4
788908,2
789309,4
789310,4
789449,2
789896,4
790300,4
790897,1
792975,4
792976,2
793759,4
794206,4
794335,2
795884,4
798138,4
798431,4
800085,4
801051,4
801305,3
801386,4
801891,4
802005,2
802494,4
803975,4
805614,4
805797,4
807082,4
808109,4
808710,4
808758,4
809786,4
813237,4
813605,2
816973,2
817565,4
818329,4
818615,4
819287,5
819538,3
819711,4
819909,4
820198,4
820209,1
820284,4
820537,4
820553,4
820808,4
821306,4
821339,5
821373,5
821539,2
821867,4
822353,2
824436,4
825480,4
825943,4
826624,4
828269,4
828610,5
828617,4
829132,2
829133,4
829723,4
830090,4
830091,4
830803,4
830893,4
831447,4
831854,5
832452,4
832504,4
832956,4
833475,4
833727,4
835061,4
837609,4
839127,4
839306,4
839307,5
839965,2
840145,3
841307,4
841927,2
842463,4
842516,2
844302,4
846467,2
847499,4
848583,1
849772,4
850510,4
850723,4
850817,2
852285,4
852317,4
852670,2
853180,4
853405,3
853486,4
854821,5
855939,4
856262,4
858987,2
859652,4
860426,4
860463,4
860819,4
860979,4
862549,4
862962,4
863808,4
863827,4
863866,4
864188,4
865036,2
866622,4
867535,4
868229,4
869408,4
870218,2
871743,3
872799,4
873399,4
874251,4
874994,4
875069,4
875321,2
878979,4
879789,4
881165,4
881179,2
881181,1
881669,5
882449,3
882974,4
883554,4
884025,4
885486,4
886617,4
888619,4
888786,4
889413,1
890362,4
890946,4
890976,4
890977,4
891027,4
891600,4
891615,4
893182,5
893647,4
894922,4
894923,4
894925,4
897002,1
897743,4
898390,4
898967,4
899423,1
899482,4
899483,1
899484,4
899490,4
902791,4
902800,1
903543,4
905791,4
905863,4
905867,4
906323,5
907638,5
908902,3
909917,5
910503,4
910526,4
910989,1
911052,2
911787,4
913572,4
914081,2
914971,4
914972,4
916049,4
919188,4
919194,4
919219,5
920665,4
920743,4
921365,4
923137,4
923212,3
924834,4
924867,4
925400,4
926257,4
926877,4
927373,4
927476,3
927478,5
928826,4
930460,4
931084,5
932893,4
932894,4
932918,4
933532,4
934151,4
934803,4
935430,4
936342,4
938878,4
941089,4
942221,2
944633,3
945843,4
947389,4
948061,4
949156,4
950793,4
950794,4
950975,4
950982,4
950983,1
953301,4
953302,4
953820,4
954008,4
954585,4
955663,4
956245,4
956246,4
959539,5
960050,4
960597,4
961541,4
961544,4
962161,4
964023,4
965014,4
966067,4
966512,2
966518,4
