ID,COORDS_X,COORDS_Y,AGE,BEDROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,PRICE_REGR,YEAR
125616,179556,316960,46,5,180,4.998,7,1,2389.58,3322.48,1350,0,270459,2004
127709,178033,317860,97,1,160,0.528,7,0,1188.17,1643.8,2551.42,0,345157,2004
129484,175932,321180,47,7,115,7.18,7,1,207.42,3234.16,3532.17,1,240635,2005
129508,175002,318153,95,6,120,0.826,7,1,1634.15,1402.24,2105.43,0,227970,2005
130153,177842,314777,27,5,245,2.18,7,1,556.42,3514.09,3183.17,0,534479,2004
130799,177992,317683,43,5,140,1.172,7,0,1082.4,1625.64,2657.19,0,309096,2004
130935,176102,317425,100,1,125,0.581,5,0,639.56,625.78,3100.03,0,383794,2004
130983,175430,317617,90,1,136,0.385,3,1,1246.46,1029.09,2493.12,0,247921,2004
131593,173704,316258,30,5,125,0.495,7,1,3033.41,3192.71,706.17,0,361256,2004
132263,174841,316713,51,4,175,0.761,7,0,1936.83,2003,1802.76,0,524819,2004
133153,177625,315509,38,5,108,6.69,7,0,457.38,2759.72,3282.21,0,216367,2004
135246,176204,320847,100,5,150,0.826,3,0,297.77,2874.33,3441.82,1,177310,2005
135402,174464,317426,55,5,100,0.525,9,1,2230.97,2006.99,1508.62,0,320687,2004
135560,175746,317699,26,5,145,0.59,7,0,920.79,705.28,2818.8,0,437886,2004
135589,178184,317624,90,6,105,0.97,5,1,1241.03,1825.31,2498.55,0,158412,2004
139627,176392,316632,63,1,135,0.977,7,1,395.48,1346.75,3344.11,0,623022,2004
139918,178803,317990,19,5,192,0.927,7,1,1949.54,2409.5,1790.04,0,386370,2004
141310,175541,321002,53,9,190,0.424,7,1,42.91,3140.96,3696.67,0,386370,2004
143014,178678,316228,53,1,110,4.81,7,0,1457.5,2878.17,2282.09,0,227314,2004
144180,176408,317384,100,1,156,0.97,7,0,351.32,594.96,3388.26,0,473303,2004
144675,176284,316802,23,1,140,0.97,7,0,548.49,1181.84,3191.1,0,493910,2004
145430,176392,316632,53,5,172,1.001,7,0,395.48,1346.75,3344.11,0,476523,2004
146677,174368,319516,23,5,100,0.663,7,1,1746,2542.61,1993.59,0,227958,2004
148160,173256,317071,41,5,140,0.576,7,0,3482.66,3266,256.92,0,217655,2004
148241,174083,316766,46,8,132,0.472,7,0,2695.8,2609.3,1043.79,0,231822,2004
148247,177634,315398,57,7,103,1.535,7,1,435.85,2863.37,3303.74,0,289778,2004
148468,176030,316563,85,7,130,0.726,7,0,738.4,1461.65,3001.18,0,350309,2004
149893,176179,318129,29,10,200,0.896,7,1,458.88,261.79,3280.7,0,481270,2005
151406,174435,317476,55,6,110,1.319,7,0,2250.6,2021.87,1488.99,0,216367,2004
151755,174395,317237,57,5,100,1.152,7,0,2333.88,2131.58,1405.7,0,247277,2004
153503,173010,317420,21,5,155,1.439,9,1,3667.7,3429.13,71.88,0,418568,2004
157930,179378,318752,23,4,137,1.062,7,1,2439.36,3082.97,1300.22,0,288490,2004
160635,179318,316676,56,7,118,0.282,5,1,2103.91,3201.49,1635.68,0,264020,2004
162084,177713,314985,29,4,92,1.051,7,0,445.35,3271.58,3294.23,0,209928,2004
162562,176522,318224,53,1,118,3.46,7,0,128.73,276.84,3610.85,0,244701,2004
163556,177685,319420,63,5,128,0.217,5,0,676.49,1935.17,3063.1,0,173867,2004
163718,174368,319516,23,4,100,0.606,7,1,1746,2542.61,1993.59,0,222807,2004
164132,178062,317778,53,1,180,0.3,7,0,1183.6,1680.54,2555.99,0,276899,2004
166779,179066,318250,53,1,162,0.344,7,0,2197.84,2686.18,1541.75,0,231822,2004
168871,178184,317624,100,1,158,0.83,7,0,1241.03,1825.31,2498.55,0,260800,2004
170041,175084,318073,65,4,160,0.424,7,0,1549.21,1312.77,2190.37,0,264020,2004
170266,176350,316562,79,6,155,0.406,7,0,422.06,1417.41,3317.53,0,644649,2005
170392,174318,319044,54,6,117,1.136,6,1,1975.35,2332.73,1764.23,0,273679,2004
170963,178762,315130,41,5,100,0.316,7,0,1503.05,3704.68,2236.54,0,204776,2004
171716,173796,316989,46,7,124,0.337,5,1,2974.74,2779.52,764.85,0,225383,2004
172086,176365,320812,53,1,270,0.337,3,0,375.38,2833.23,3364.2,1,202200,2004
174621,179171,316414,57,6,100,0.65,7,0,1939.57,3187.89,1800.02,0,204540,2005
178819,174368,319516,53,1,105,0.516,7,0,1746,2542.61,1993.59,0,217011,2004
179148,177556,314856,53,1,90,0.374,7,0,282.28,3332.05,3457.3,0,207352,2004
179512,179593,319053,23,1,100,0.433,7,0,2613.01,3374.94,1126.58,0,226670,2004
182937,173272,317535,22,1,150,0.221,7,1,3392.37,3152.7,347.22,0,466864,2004
183053,177583,317587,53,1,175,0.172,5,0,668.61,1252.38,3070.98,0,309096,2004
183953,173883,316690,50,1,137,0.282,7,1,2886.39,2821.82,853.2,0,273035,2004
184905,179564,317560,53,1,182,0.172,7,0,2543.73,3197.98,1195.85,0,551221,2004
185662,173352,316758,53,1,100,0.365,7,1,3421.54,3277.17,318.04,0,189321,2004
186583,178819,317417,53,1,100,2.014,7,0,1785.47,2489.68,1954.11,0,291065,2004
186675,178826,315816,39,5,155,1.047,7,1,1691.14,3254.88,2048.45,0,224095,2004
186719,178924,315832,39,5,115,0.183,7,1,1779.61,3318.38,1959.98,0,213791,2004
186724,178605,315833,39,5,112,3.38,7,0,1477.14,3081.35,2262.44,0,227970,2005
186741,178624,316038,39,5,112,0.891,5,1,1436.54,2956.59,2303.05,0,221638,2005
186922,178801,317430,62,7,120,0.39,7,0,1770.75,2469.22,1968.83,0,254360,2004
188338,178101,319711,34,5,80,0.535,7,0,1107.98,2432.25,2631.6,0,208640,2004
188392,176354,316705,100,6,125,0.344,7,0,450.95,1274.37,3288.63,0,512584,2004
188505,177705,315099,29,4,81,0.344,7,0,452.94,3164.28,3286.65,0,244701,2004
189182,176625,316510,30,5,90,0.344,7,1,142.25,1486.89,3597.34,0,283338,2004
190105,178648,316020,39,5,115,1.129,5,1,1464.03,2986.51,2275.55,0,203488,2004
190613,173841,317030,48,7,120,1.166,7,1,2920.9,2722.97,818.69,0,257580,2004
191679,174368,319516,22,1,90,1.092,7,1,1746,2542.61,1993.59,0,191897,2004
192597,178493,316063,32,4,101,0.239,7,1,1303.29,2842.15,2436.3,0,224171,2005
192663,178166,317832,68,7,85,1.069,7,0,1300.61,1778.56,2438.98,0,202640,2005
194085,175957,316633,63,9,162,0.805,7,1,821.38,1414.75,2918.2,0,341294,2004
